publication_date,num_pages,num_ratings,num_reviews
2001,751,359949,7166
2001,216,42378,1267
2001,277,27693,1511
2003,187,74931,3144
2004,358,9507,1176
2001,772,49178,1310
2001,800,2032,60
2001,269,16367,441
2002,340,72035,7526
2002,256,51184,7510
2002,533,11595,908
2002,560,24341,1119
2002,240,16410,1259
2003,544,382792,15633
2003,317,130277,5920
2003,303,216965,17385
2003,400,205452,14241
2003,341,179213,11894
2003,408,20555,1241
2003,375,138934,2743
2003,328,3948,321
2003,677,11560,971
2003,409,12287,1491
2003,562,12863,797
2003,364,7911,545
2003,713,38,8
2002,349,6866,542
2004,818,179547,10065
2004,312,73009,3825
2004,7,277282,7353
2004,569,38448,1167
2004,352,5225,773
2003,384,1454,155
2004,428,21189,810
2005,288,1195760,62212
2005,386,228503,8414
2005,291,468537,14911
2005,916,185723,8213
2005,563,86323,4828
2005,416,66731,5333
2005,343,49479,3544
2005,333,3900,449
2005,268,846386,19075
2006,450,203552,14100
2006,232,178884,12701
2006,339,95759,4206
2006,336,89526,8208
2006,469,32403,2834
2005,340,55114,5827
2007,383,110046,11328
2007,229,186268,11964
2007,675,184342,4416
2016,246,10734,1062
2008,206,343287,19476
2008,323,208370,10457
2008,205,115692,8650
2008,309,777126,32257
2008,400,29733,1999
2008,576,1925,333
2009,417,91034,9971
2008,272,162644,12730
2009,342,78157,8051
2009,329,26724,3371
2010,370,727986,40522
2010,475,928426,50079
2010,304,274305,20410
2010,448,22294,2672
2012,315,788613,46430
2012,333,430825,29150
2016,208,654459,49753
2015,285,52649,6060
2016,418,95603,11547
2016,289,680766,55333
2016,336,39906,5436
2016,464,25140,3412
2017,359,314468,32025
2016,479,143258,17897
2017,223,176201,15847
2017,63,81243,9938
2018,352,1490090,106337
2018,426,1030605,66785
2018,352,234579,19575
2018,273,131019,11801
2018,272,57253,8192
2018,416,30590,3936
2019,415,313932,27383
2019,608,96138,10360
2019,205,4299,893
2019,388,287417,23255
2019,273,60066,6857
2019,384,192990,26631
2020,544,133588,18528
2020,546,114058,11731
2020,377,120344,11949
2020,768,221998,19636
2020,320,8454,1279
2021,272,5337,590
2021,293,118433,20108
2021,256,393807,45735
2021,535,99045,11654
2021,224,2809,468
2021,285,41038,5845
2021,307,93243,7101
2021,288,45678,4708
2021,536,34176,4305
2021,29,31241,2999
2021,304,39037,4021
2022,320,881457,94122
2023,329,75313,7984
2023,284,28248,4007
